distance_m,time_s,elevation_m
0,0,0.2999
0.5,10,0.4455
1,20,0.3945
1.5,30,0.4507
2,40,0.4153
2.5,50,0.346
3,60,0.3195
3.5,70,0.3055
4,80,0.197
4.5,90,0.2471
5,100,0.2858
5.5,110,0.2837
6,120,0.4359
6.5,130,0.5653
7,140,0.5495
7.5,150,0.9785
8,160,1.5469
8.5,170,2.0556
9,180,1.5652
9.5,190,1.1
10,200,0.6407
10.5,210,0.6279
11,220,0.5142
11.5,230,0.3564
12,240,0.3631
12.5,250,0.2678
13,260,0.1926
13.5,270,0.2641
14,280,0.3174
14.5,290,0.2722
15,300,0.3964
15.5,310,0.7106
16,320,1.135
16.5,330,1.6696
17,340,1.1746
17.5,350,0.5089
18,360,0.2291
18.5,370,0.1057
19,380,-0.1502
19.5,390,-0.2189
20,400,-0.2842
20.5,410,-0.4501
21,420,-0.4176
21.5,430,-0.4692
22,440,-0.4666
22.5,450,-0.4129
23,460,-0.2871
23.5,470,-0.3646
24,480,-0.19
24.5,490,-0.2097
25,500,-0.2611
25.5,510,-0.3003
26,520,-0.3599
26.5,530,-0.3167
27,540,0.1394
27.5,550,0.5018
28,560,-0.1581
28.5,570,-0.6146
29,580,-0.8281
29.5,590,-0.8486
30,600,-0.7013
30.5,610,-0.5924
31,620,-0.5546
31.5,630,-0.3555
32,640,-0.3135
32.5,650,-0.3114
33,660,0.0497
33.5,670,0.4989
34,680,0.9014
34.5,690,0.4008
35,700,-0.1225
35.5,710,-0.4865
36,720,-0.4413
36.5,730,-0.4245
37,740,-0.4234
37.5,750,-0.3126
38,760,-0.1455
38.5,770,-0.0924
39,780,0.0897
39.5,790,0.2773
40,800,0.3178
40.5,810,0.439
41,820,0.5058
41.5,830,0.3751
42,840,0.4571
42.5,850,0.4361
43,860,0.3084
43.5,870,0.2726
44,880,0.2705
44.5,890,0.2024
45,900,0.4974
45.5,910,1.0866
46,920,1.504
46.5,930,1.2667
47,940,0.8731
47.5,950,0.6499
48,960,0.815
48.5,970,0.8697
49,980,0.7949
49.5,990,0.7651
50,1000,0.7355
50.5,1010,0.6089
51,1020,0.5236
51.5,1030,0.4141
52,1040,0.2776
52.5,1050,0.2618
53,1060,0.2753
53.5,1070,0.1782
54,1080,0.3235
54.5,1090,0.3633
55,1100,0.343
55.5,1110,0.4123
56,1120,0.4746
56.5,1130,0.4239
57,1140,0.4029
57.5,1150,0.3732
58,1160,0.3599
58.5,1170,0.798
59,1180,1.1721
59.5,1190,0.4577
60,1200,-0.0826
60.5,1210,-0.3594
61,1220,-0.4671
61.5,1230,-0.4342
62,1240,-0.3649
62.5,1250,-0.4083
63,1260,-0.3163
63.5,1270,-0.2269
64,1280,-0.2504
64.5,1290,-0.2357
65,1300,-0.245
65.5,1310,-0.3795
66,1320,-0.4426
66.5,1330,-0.4888
67,1340,-0.6646
67.5,1350,-0.7153
68,1360,-0.8047
68.5,1370,-0.9395
69,1380,-0.8246
69.5,1390,-0.7529
70,1400,-0.7483
70.5,1410,-0.6119
71,1420,-0.2701
71.5,1430,0.2737
72,1440,0.8848
72.5,1450,0.4672
73,1460,-0.011
73.5,1470,-0.2545
74,1480,-0.2186
74.5,1490,-0.3961
75,1500,-0.3625
75.5,1510,-0.3873
76,1520,-0.495
76.5,1530,-0.4478
77,1540,-0.3566
77.5,1550,-0.4044
78,1560,-0.2307
78.5,1570,-0.0524
79,1580,0.0418
79.5,1590,0.2375
80,1600,0.3687
80.5,1610,0.3687
81,1620,0.4481
81.5,1630,0.5044
82,1640,0.3604
82.5,1650,0.6064
83,1660,1.0784
83.5,1670,1.3999
84,1680,0.9366
84.5,1690,0.4958
85,1700,0.2177
85.5,1710,0.3274
86,1720,0.4246
86.5,1730,0.4691
87,1740,0.6713
87.5,1750,0.7472
88,1760,0.7647
88.5,1770,0.8441
89,1780,0.8704
89.5,1790,0.7645
90,1800,0.7302
90.5,1810,0.6618
91,1820,0.4587
91.5,1830,0.4166
92,1840,0.5974
92.5,1850,0.9534
93,1860,1.4124
93.5,1870,0.9696
94,1880,0.4682
94.5,1890,0.4014
95,1900,0.4314
95.5,1910,0.4211
96,1920,0.446
96.5,1930,0.4812
97,1940,0.393
97.5,1950,0.3676
98,1960,0.239
98.5,1970,0.0218
99,1980,-0.0582
99.5,1990,-0.1605
100,2000,-0.3639
