distance_m,time_s,elevation_m
0.0,0.0,0.0867
1.0,20.0,0.105
2.0,40.0,0.194
3.0,60.0,0.1534
4.0,80.0,0.1371
5.0,100.0,0.0796
6.0,120.0,0.1288
7.0,140.0,0.1161
8.0,160.0,0.2196
9.0,180.0,0.2508
10.0,200.0,0.3778
11.0,220.0,0.3803
12.0,240.0,0.412
13.0,260.0,0.3442
14.0,280.0,0.3115
15.0,300.0,0.193
16.0,320.0,0.1973
17.0,340.0,0.1318
18.0,360.0,0.2064
19.0,380.0,0.1928
20.0,400.0,0.2582
21.0,420.0,0.2155
22.0,440.0,0.2346
23.0,460.0,0.1066
24.0,480.0,0.3454
25.0,500.0,0.5128
26.0,520.0,0.1899
27.0,540.0,-0.1829
28.0,560.0,-0.1399
29.0,580.0,-0.1523
30.0,600.0,-0.0712
31.0,620.0,-0.1316
32.0,640.0,-0.1244
33.0,660.0,-0.2279
34.0,680.0,-0.2532
35.0,700.0,-0.3577
36.0,720.0,-0.3736
37.0,740.0,-0.4197
38.0,760.0,-0.3412
39.0,780.0,-0.3003
40.0,800.0,-0.1942
41.0,820.0,-0.1882
42.0,840.0,-0.148
43.0,860.0,-0.1953
44.0,880.0,-0.1921
45.0,900.0,-0.2578
46.0,920.0,-0.2136
47.0,940.0,-0.2201
48.0,960.0,-0.1014
49.0,980.0,-0.049
50.0,1000.0,0.0866
51.0,1020.0,0.1217
52.0,1040.0,0.172
53.0,1060.0,0.1408
54.0,1080.0,0.1519
55.0,1100.0,0.0863
56.0,1120.0,0.1248
57.0,1140.0,0.1342
58.0,1160.0,0.2111
59.0,1180.0,0.269
60.0,1200.0,0.3522
61.0,1220.0,0.3691
62.0,1240.0,0.413
63.0,1260.0,0.3388
64.0,1280.0,0.3139
65.0,1300.0,0.2096
66.0,1320.0,0.4902
67.0,1340.0,0.7368
68.0,1360.0,0.5062
69.0,1380.0,0.1913
70.0,1400.0,0.2473
71.0,1420.0,0.211
72.0,1440.0,0.2132
73.0,1460.0,0.1131
74.0,1480.0,0.0511
75.0,1500.0,-0.0768
76.0,1520.0,-0.1197
77.0,1540.0,-0.1849
78.0,1560.0,-0.1377
79.0,1580.0,-0.1597
80.0,1600.0,-0.0881
81.0,1620.0,-0.1342
82.0,1640.0,-0.1229
83.0,1660.0,-0.2236
84.0,1680.0,-0.2713
85.0,1700.0,-0.3641
86.0,1720.0,-0.3772
87.0,1740.0,-0.4112
88.0,1760.0,-0.3282
89.0,1780.0,-0.3023
90.0,1800.0,-0.195
91.0,1820.0,-0.1946
92.0,1840.0,-0.1456
93.0,1860.0,-0.1984
94.0,1880.0,-0.2101
95.0,1900.0,-0.2745
96.0,1920.0,-0.2356
97.0,1940.0,-0.2323
98.0,1960.0,-0.1042
99.0,1980.0,-0.0588
100.0,2000.0,0.0799
101.0,2020.0,0.1284
102.0,2040.0,0.183
103.0,2060.0,0.1514
104.0,2080.0,0.1473
105.0,2100.0,0.0906
